city,cloud,country,date,humidity,lat,lng,maxtemp,windspeed
Lubango,99,AO,1584148903,88,-14.92,13.49,61.61,1.68
Richards Bay,67,ZA,1584148903,85,-28.78,32.04,77.68,10.74
Cookeville,90,US,1584148784,66,36.16,-85.5,53.01,6.04
Najrān,45,SA,1584148798,29,17.49,44.13,66.2,5.82
Pechenga,49,RU,1584148904,78,69.53,31.17,14.0,25.28
Tayshet,26,RU,1584148904,87,55.93,98.0,23.79,4.23
Malé,20,MV,1584148731,88,4.17,73.51,82.4,6.93
Praia da Vitória,20,PT,1584148905,87,38.73,-27.07,57.2,4.61
Kungurtug,0,RU,1584148905,74,50.6,97.52,7.29,4.09
Leningradskiy,44,RU,1584148629,94,69.38,178.42,2.88,8.34
Kismayo,98,SO,1584148905,80,-0.36,42.55,82.81,13.09
Shihezi,3,CN,1584148905,58,44.3,86.03,31.91,1.74
Trairi,100,BR,1584148905,94,-3.28,-39.27,73.83,0.13
Kantunilkín,40,MX,1584148728,74,21.09,-87.45,78.8,6.93
Agüimes,75,ES,1584148905,77,27.91,-15.45,64.4,20.8
Lodja,85,CD,1584148640,99,-3.48,23.43,67.19,1.14
Esperance,90,AU,1584148906,93,-33.87,121.9,64.4,10.29
Hamilton,90,US,1584148758,45,39.18,-84.53,46.99,6.93
Necochea,1,AR,1584148533,68,-38.55,-58.74,82.0,11.99
Jaisalmer,0,IN,1584148906,40,26.91,70.92,61.09,2.35
Grindavik,75,IS,1584148906,79,63.84,-22.43,28.4,18.34
Lábrea,100,BR,1584148907,92,-7.26,-64.8,77.61,1.05
Aragarças,18,BR,1584148907,91,-15.9,-52.25,74.23,2.91
Saku,75,JP,1584148907,82,36.22,138.48,44.01,2.04
Clyde River,40,CA,1584148907,68,70.47,-68.59,-14.8,14.99
Carballo,24,ES,1584148907,93,43.21,-8.69,48.0,1.12
Isangel,40,VU,1584148907,63,-19.55,169.27,91.4,9.17
Faya,95,SA,1584148909,82,18.39,42.45,59.0,4.7
Dyersburg,75,US,1584148909,76,36.03,-89.39,51.8,5.82
Nyurba,0,RU,1584148909,93,63.28,118.33,-18.89,4.68
Gachsaran,75,IR,1584148910,38,30.36,50.8,60.8,11.41
Maryville,90,US,1584148910,38,35.76,-83.97,60.01,5.82
Quatre Cocos,40,MU,1584148910,100,-20.21,57.76,75.99,11.59
São João Batista,20,BR,1584148910,83,-27.28,-48.85,78.01,8.05
Januária,5,BR,1584148910,88,-15.48,-44.37,70.77,2.62
West Bay,20,KY,1584148806,83,19.37,-81.42,78.8,9.17
Hilton Head,1,US,1584148759,82,32.22,-80.75,73.4,4.7
Basco,51,PH,1584148911,80,20.45,121.97,76.51,8.01
Deputatsky,0,RU,1584148624,75,69.3,139.9,-19.97,1.81
Prosvet,100,RU,1584148911,92,55.57,65.08,34.97,15.57
Locri,20,IT,1584148911,33,38.24,16.26,59.0,4.7
Zlobin,40,HR,1584148912,37,45.29,14.65,55.4,8.05
Diego de Almagro,59,CL,1584148629,66,-26.37,-70.05,61.48,1.54
